fips,county_name,poverty_rate,unemployment_rate,food_insecurity_rate,housing_cost_burden,poverty_rate_scaled,unemployment_rate_scaled,food_insecurity_rate_scaled,housing_cost_burden_scaled
39133,Portage,11.4,4.3,13.3,11.983061681,36.781609195402304,30.55555555555555,34.48275862068966,54.16767777669848
39135,Preble,11.2,3.9,13.4,7.7575757576,35.632183908045974,19.44444444444444,35.3448275862069,22.734732050672616
39137,Putnam,7.1,3.5,10.4,4.7013782542,12.068965517241379,8.333333333333329,9.482758620689655,0.0
39139,Richland,13.9,5.0,15.2,10.531144867,51.14942528735632,50.0,50.86206896551724,43.36702117991963
39141,Ross,16.8,4.6,16.3,12.316403569,67.816091954023,38.88888888888888,60.34482758620691,56.647373050487026
39143,Sandusky,13.2,4.7,15.2,9.387755102,47.12643678160919,41.66666666666667,50.86206896551724,34.861464877410505
39145,Scioto,22.4,5.8,20.9,11.054637865,100.0,72.22222222222221,100.0,47.26123057793563
39147,Seneca,11.9,4.4,14.4,8.0824455767,39.6551724137931,33.33333333333334,43.96551724137932,25.151404494247448
39149,Shelby,11.1,3.9,13.5,5.9273422562,35.05747126436782,19.44444444444444,36.20689655172414,9.119817373789783
39151,Stark,12.7,4.5,14.5,9.03095207,44.25287356321839,36.11111111111111,44.82758620689655,32.20724461894775
39153,Summit,12.6,4.4,13.6,11.459696923,43.67816091954023,33.33333333333334,37.068965517241374,50.274422342565686
39155,Trumbull,16.8,5.2,16.7,10.293326961,67.816091954023,55.555555555555564,63.793103448275865,41.59791876957242
39157,Tuscarawas,13.0,4.0,14.8,9.8457411133,45.97701149425288,22.22222222222222,47.413793103448285,38.26837468552282
39159,Union,5.1,3.3,10.1,6.6232860795,0.5747126436781589,2.7777777777777684,6.896551724137923,14.296870338280511
39161,Van Wert,9.5,3.8,12.5,8.2964121275,25.862068965517242,16.666666666666657,27.586206896551726,26.743079179811108
39163,Vinton,16.7,5.2,19.1,10.057988402,67.24137931034484,55.555555555555564,84.48275862068968,39.84725996100257
39165,Warren,5.4,3.8,10.4,7.0662205814,2.2988505747126458,16.666666666666657,9.482758620689655,17.59181354973587
39167,Washington,12.9,5.0,15.9,8.9421487603,45.40229885057472,50.0,56.89655172413794,31.546646130467753
39169,Wayne,8.7,3.9,12.6,8.3014107122,21.26436781609195,19.44444444444444,28.44827586206896,26.780263126090972
39171,Williams,11.9,4.4,14.3,6.4541519087,39.6551724137931,33.33333333333334,43.10344827586208,13.038699016082617
39173,Wood,12.0,4.3,13.6,10.813388004,40.229885057471265,30.55555555555555,37.068965517241374,45.466598215009064
39175,Wyandot,7.5,3.9,12.3,6.1281337047,14.367816091954024,19.44444444444444,25.862068965517246,10.613483857920945
